student_id,minutes_watched,paid_in_q2
4698,6.47,0
2622,15.87,0
2851,502.09,0
5325,166.51,0
2377,61.92,0
6643,541.96,0
1544,26.70,0
4685,6.28,0
7100,117.25,0
32237,449.72,0
10131,55.76,0
7548,3.98,0
6589,443.78,0
3221,93.63,0
9598,457.40,0
778,201.61,0
13169,2.02,0
2437,72.22,0
19178,27.17,0
16632,862.43,0
7724,24.10,0
2495,0.18,0
6871,14.23,0
2303,19.08,0
3712,47.85,0
9387,13.43,0
27832,5.90,0
7334,153.01,0
10002,62.32,0
8183,40.32,0
10393,709.28,0
26949,3.20,0
3016,24.17,0
4837,408.74,0
9952,23.73,0
3860,266.45,0
25211,765.04,0
1175,35.26,0
3367,101.93,0
11325,444.31,0
3698,1650.93,0
9746,317.70,0
2274,368.79,0
134788,55.09,0
18692,243.11,0
19741,0.42,0
22161,0.07,0
3495,0.08,0
2229,574.58,0
7034,467.04,0
8425,16.08,0
7246,379.26,0
6408,100.11,0
12868,12.21,0
8059,4.34,0
1977,994.55,0
11813,0.45,0
6864,6.02,0
4969,5.19,0
24006,792.19,0
2058,0.42,0
16725,787.17,0
5683,6.57,0
3148,21.26,0
22533,529.53,0
1571,77.60,0
13132,451.04,0
1067,0.26,0
1353,397.34,0
5427,41.48,0
900,283.33,0
8937,42.82,0
8686,0.22,0
1896,1058.62,0
3146,0.18,0
5591,6.35,0
2918,601.20,0
12701,0.10,0
1215,1542.71,0
2815,310.56,0
2764,36.55,0
1357,142.72,0
16991,1490.51,0
863,624.94,0
5036,964.15,0
1034,107.75,0
3779,592.30,0
3878,2.03,0
3781,1600.73,0
10608,6.05,0
916,339.05,0
1598,65.70,0
2550,9.61,0
14629,121.73,0
6817,13.50,0
14735,387.71,0
10218,16.65,0
5734,315.63,0
3466,251.71,0
10902,0.23,0
3558,155.67,0
4568,20.72,0
13566,12.87,0
13586,1.05,0
999,117.90,0
11082,6.85,0
4707,1308.07,0
5791,0.42,0
1284,586.51,0
12385,139.68,0
908,2278.00,0
6997,164.50,0
5955,111.03,0
2866,1630.57,0
8855,2046.07,0
1426,165.57,0
4869,50.59,0
2364,397.44,0
2954,316.01,0
6599,33.67,0
2055,53.47,0
767,0.05,0
3864,469.22,0
3980,12.15,0
2930,265.79,0
6239,48.49,0
6982,55.45,0
9336,5.47,0
830,0.36,0
911,878.07,0
9429,1638.51,0
6530,604.66,0
7122,126.50,0
1638,706.91,0
9107,309.70,0
9031,1.55,0
8964,20.71,0
8924,569.07,0
1057,1075.14,0
8797,33.98,0
2501,145.05,0
5321,888.50,0
6741,32.96,0
8544,65.80,0
7503,44.89,0
2318,3.58,0
1732,319.33,0
8641,24.15,0
1606,5.58,0
5687,48.30,0
2546,95.86,0
1713,86.83,0
1347,29.94,0
1045,82.25,0
2093,496.11,0
1841,23.65,0
6739,2509.41,0
3379,0.35,0
5971,53.93,0
5382,569.27,0
2078,10.13,0
6488,1468.64,0
4939,346.87,0
5502,244.84,0
4582,24.75,0
5392,12.32,0
4613,130.83,0
4958,1449.23,0
4751,0.25,0
1500,821.39,0
1253,0.15,0
4537,169.60,0
4972,48.22,0
4739,768.99,0
2170,3.30,0
3468,672.31,0
2692,94.75,0
618,546.35,0
3908,13.31,0
3797,306.83,0
3728,893.74,0
3305,308.39,0
5203,227.04,0
3641,192.56,0
5974,1017.61,0
4132,502.38,0
3182,0.13,0
2657,28.17,0
2973,68.68,0
1917,30.47,0
2339,182.27,0
1902,133.83,0
1336,9.65,0
2463,6.98,0
2149,604.18,0
804,514.06,0
1773,415.49,0
1959,259.49,0
1292,33.94,0
1238,50.80,0
1063,1867.34,0
1151,122.35,0
985,57.79,0
792,3391.73,0
810,190.15,0
4514,306.16,0
1212,42.01,0
8835,157.74,0
9806,14.14,0
1271,40.54,0
1395,133.53,0
2185,965.88,0
2591,1674.25,0
4745,56.30,0
13266,439.61,0
5094,1183.92,0
2351,18.75,0
2984,648.23,0
2644,157.17,0
16043,245.63,0
5750,0.38,0
13463,48.26,0
1825,487.42,0
2629,216.07,0
8591,148.59,0
2157,4.47,0
4843,594.89,0
3107,27.43,0
2582,1577.52,0
2943,285.52,0
5380,0.87,0
3075,116.97,0
3030,50.21,0
902,34.62,0
5424,14.40,0
9305,1008.91,0
2113,43.51,0
4595,59.70,0
11404,96.16,0
1481,30.05,0
12898,87.75,0
3147,23.58,0
143466,27.96,0
143514,49.91,0
143523,747.35,0
143701,375.87,0
143801,105.22,0
24451,112.48,0
144083,72.95,0
144293,1112.94,0
144384,147.50,0
144400,543.53,0
144713,7.65,0
143655,6.64,0
144764,432.86,0
144786,868.27,0
1994,216.19,0
144900,548.16,0
144939,744.10,0
144956,115.91,0
144749,1022.50,0
144174,571.20,0
145185,148.35,0
145196,45.01,0
145235,24.30,0
145310,4.98,0
145290,2202.13,0
145477,115.23,0
145386,412.34,0
143691,22.23,0
3416,0.15,0
145464,68.46,0
144912,37.73,0
2967,0.44,0
145672,1811.26,0
144355,25.15,0
6012,6.45,0
145730,1962.45,0
145747,37.10,0
2811,2617.24,0
146929,2.34,0
156099,15.63,0
158250,9.65,0
156561,434.56,0
156543,70.25,0
145502,1503.29,0
156427,502.03,0
5076,348.39,0
155845,232.26,0
8779,0.30,0
18314,2.10,0
148134,788.32,0
152033,54.40,0
10685,76.46,0
158278,446.97,0
150906,37.10,0
148901,1524.22,0
147903,659.67,0
148054,1271.82,0
154559,62.87,0
9231,144.59,0
151620,466.62,0
147676,553.93,0
152421,64.76,0
156822,216.75,0
145993,743.61,0
153762,580.77,0
3402,13.23,0
158529,1.35,0
156843,465.71,0
137893,756.38,0
5071,315.32,0
7382,969.49,0
156080,96.01,0
158315,42.72,0
155973,635.01,0
11002,42.97,0
1132,139.87,0
156925,4089.87,0
156901,136.39,0
158108,0.27,0
1667,23.18,0
148497,1504.05,0
156592,378.28,0
148222,1558.00,0
157012,114.75,0
7631,22.94,0
149946,250.33,0
156167,880.03,0
154460,0.05,0
4877,12.60,0
148643,116.91,0
11748,87.23,0
158612,0.52,0
156446,415.78,0
2256,41.97,0
6814,27.43,0
145873,1729.74,0
157134,163.94,0
152249,48.47,0
152766,228.57,0
148758,34.50,0
3080,171.50,0
13807,30.33,0
4150,4.53,0
7217,2.59,0
3359,279.32,0
153255,1329.46,0
154765,99.53,0
5739,150.17,0
148882,17.40,0
148411,274.37,0
153091,675.25,0
14714,238.10,0
157166,589.98,0
157232,632.93,0
149027,3.80,0
148559,921.51,0
153558,1870.84,0
153478,488.78,0
149044,204.06,0
157306,63.80,0
157360,357.74,0
156795,18.32,0
149253,22.73,0
4898,153.44,0
144305,394.14,0
1801,3.00,0
9478,42.53,0
3112,22.42,0
149218,2910.42,0
2324,2069.84,0
3875,517.64,0
148886,1881.92,0
8057,55.59,0
1211,615.10,0
8068,111.56,0
153974,231.35,0
21569,1147.34,0
157526,57.03,0
4640,293.82,0
3647,603.68,0
18954,686.16,0
151819,67.60,0
25359,1120.94,0
16473,0.73,0
155494,194.11,0
4927,39.96,0
157536,21.97,0
154300,228.61,0
19124,502.43,0
153953,989.88,0
154320,274.71,0
157465,234.17,0
154143,211.20,0
154181,1424.20,0
157600,120.00,0
149636,95.58,0
157686,41.13,0
157722,194.05,0
18678,174.03,0
157786,178.01,0
15472,152.05,0
154491,523.10,0
12246,1.45,0
149951,275.84,0
152969,398.14,0
147992,26.57,0
147259,0.35,0
148103,321.17,0
71149,1055.76,0
154821,1104.74,0
157816,903.90,0
147005,340.09,0
148628,160.75,0
14765,1031.18,0
5644,0.07,0
157905,413.44,0
156921,12.45,0
149123,49.17,0
155035,351.16,0
155096,309.78,0
155034,1058.54,0
152138,11.35,0
5717,327.32,0
147460,71.88,0
155744,141.74,0
7101,680.78,0
157974,77.09,0
157911,466.42,0
157904,615.25,0
12807,18.77,0
9100,211.07,0
148329,433.81,0
157997,516.36,0
157988,237.61,0
157989,84.19,0
8018,133.56,0
157568,0.07,0
150819,1012.70,0
157933,332.10,0
155301,185.67,0
1947,185.16,0
158105,47.35,0
155621,1586.85,0
147612,260.88,0
59292,48.39,0
148328,0.93,0
3297,64.60,0
146675,1.45,0
74005,2.93,0
137389,598.31,0
147625,16.27,0
155747,54.37,0
158179,448.95,0
149892,204.60,0
149323,0.25,0
39298,8.88,0
153235,0.13,0
151082,1.60,0
147737,521.14,0
145358,44.32,0
156077,100.02,0
145561,20.87,0
157184,132.49,0
157594,1.13,0
158021,0.05,0
147804,301.09,0
147773,2950.60,0
146480,168.81,0
156194,5.82,0
151287,3.97,0
9372,14.78,0
143561,541.97,0
149098,13.37,0
930,159.52,0
151212,5044.20,0
151574,7.12,0
147733,599.62,0
158260,132.94,0
158272,214.21,0
158482,0.45,0
156291,161.15,0
149617,214.39,0
9812,1289.01,0
143536,7.28,0
156406,848.27,0
13620,1118.30,0
151811,652.25,0
151849,530.52,0
4266,165.29,0
151950,438.70,0
150269,207.45,0
144090,1.95,0
143853,636.73,0
4723,103.81,0
2092,848.06,0
152232,420.41,0
142934,5570.53,0
16825,0.27,0
143721,33.39,0
16728,201.93,0
4016,21.20,0
1086,894.86,0
147715,280.01,0
148467,490.02,0
7612,891.09,0
4849,680.83,0
1419,203.61,0
151900,58.25,0
145050,504.74,0
158145,19.20,0
1214,36.09,0
709,2.30,0
2295,12.08,0
144843,2245.77,0
2167,709.67,0
1693,149.94,0
6363,62.00,0
4371,13.91,0
7568,687.63,0
9112,8.93,0
9409,961.54,0
158129,62.40,0
3787,216.33,0
29303,1220.86,0
14700,331.62,0
157528,199.96,0
4404,615.35,0
146990,168.52,0
9653,639.85,0
152551,42.15,0
10029,7.05,0
24924,227.94,0
1327,160.47,0
3936,299.79,0
145965,926.41,0
146429,0.25,0
11345,0.37,0
146551,56.43,0
146542,54.89,0
10365,126.75,0
3524,174.63,0
158109,1.45,0
152427,0.92,0
156660,53.05,0
1188,35.40,0
3575,253.78,0
13180,248.02,0
1561,550.45,0
1173,487.40,0
3291,1379.46,0
157839,2.45,0
7752,70.65,0
1143,21.02,0
12811,0.38,0
5323,96.40,0
152959,11.45,0
12761,309.87,0
5589,146.52,0
9989,15.47,0
1040,0.08,0
7606,14.69,0
5286,226.60,0
8010,481.08,0
893,370.11,0
15478,50.05,0
158646,0.31,0
1165,40.68,0
146401,1.67,0
156048,5.60,0
156467,11.29,0
149977,23.34,0
148089,5.56,0
1669,259.42,0
5070,181.57,0
157502,5.05,0
1155,9.13,0
2290,220.46,0
158563,13.98,0
2824,21.97,0
12073,36.53,0
157800,23.92,0
2825,1.17,0
144348,390.38,0
8223,377.69,0
2793,79.29,0
148786,4744.97,0
153108,8.98,0
4818,33.59,0
3857,2.50,0
157202,147.76,0
7620,118.36,0
7975,94.16,0
4311,4.58,0
2218,1005.18,0
3272,139.34,0
2708,0.17,0
18510,4.74,0
2928,2.03,0
5080,1340.83,0
4721,2416.62,0
1827,1.60,0
9027,187.10,0
149042,51.03,0
2308,1.70,0
8260,7.03,0
8412,548.29,0
1242,53.38,0
2431,12.58,0
1678,470.62,0
2406,36.00,0
7081,30.44,0
8030,182.48,0
2731,39.83,0
156887,0.05,0
150823,1.03,0
1543,8.17,0
3987,103.37,0
2112,2237.71,0
7898,65.87,0
14383,0.32,0
153930,0.20,0
1652,322.46,0
6890,290.82,0
8431,1.61,0
156542,0.45,0
147849,16.53,0
4054,99.58,0
154291,11.38,0
7008,0.22,0
2398,0.42,0
7421,0.48,0
3338,795.32,0
7443,14.83,0
7742,213.23,0
9612,46.49,0
1651,71.74,0
3927,1393.09,0
1235,2.75,0
1323,60.51,0
3419,1.27,0
1196,119.24,0
1867,6.07,0
152241,6.76,0
1883,0.83,0
6070,157.68,0
156645,0.52,0
520,91.19,0
4053,49.53,0
3675,3.89,0
1911,109.74,0
2213,38.28,0
1849,81.86,0
3316,0.10,0
5143,30.12,0
157517,72.71,0
151021,68.75,0
2359,26.08,0
2233,330.63,0
7086,1149.13,0
8734,238.45,0
6505,80.83,0
7355,0.37,0
7412,1931.29,0
1257,2.06,0
7524,0.12,0
6503,8.24,0
154735,33.59,0
156894,75.07,0
152188,2.97,0
156575,47.63,0
1102,983.82,0
7307,231.68,0
2397,712.64,0
3471,234.40,0
6885,977.13,0
4686,4.68,0
7076,3.00,0
7244,669.82,0
1513,272.30,0
3478,824.17,0
7475,556.23,0
1042,403.87,0
6924,268.05,0
5064,252.17,0
